ID,Heal,Gr,Va,Oi,Pt,Db,Vt
rankine:pancake_breakfast,12,0.004792017,0.004792017,0,0,0.002455419,0
supplementaries:pancake,5,0.003993348,0,0,0,0.001023091,0
frostedheart:rye_bread,6,0.003557208,0,0,0,0.00122771,0
frostedheart:rye_porridge,6,0.003557208,0,0,0,0.00122771,0
rankine:toast,6,0.003557208,0,0,0,0.00122771,0
frostedheart:black_bread,5,0.00296434,0,0,0,0.001023091,0
minecraft:bread,5,0.00296434,0,0,0,0.001023091,0
charcoal_pit:corn_stew,6,0.002396009,0,0.002396009,0,0.00122771,0.00122771
frostedheart:rye_sawdust_porridge,6,0.002164848,0,0,0,0.001497505,0
rankine:cinnamon_toast,7,0.002075038,0.002075038,0,0,0,0
crockpot:froggle_bunwich,7,0.002075038,0,0,0.002075038,0,0.002864656
create:sweet_roll,6,0.001778604,0,0,0.001778604,0.00122771,0.00122771
rankine:pancake,3,0.001778604,0,0,0,0.000613855,0
charcoal_pit:fugu,5,0.001317805,0.001317805,0,0.001317805,0.001023091,0.001023091
frozenup:truffle_muffin,4,0.001185736,0.001185736,0,0,0.000654778,0
minecraft:cookie,2,0.001185736,0,0,0,0.000409237,0
rankine:cake_slice,2,0.001185736,0,0,0,0.000409237,0
charcoal_pit:cooked_sushi,6,0.001173879,0.001173879,0,0.001173879,0.00122771,0.00122771
charcoal_pit:sushi,5,0.000978232,0.000978232,0,0.000978232,0.001023091,0.001023091
crockpot:popcorn,3,0.000889302,0,0.000729082,0,0.000613855,0
charcoal_pit:corn,3,0.000889302,0,0.000889302,0,0.000613855,0
crockpot:corn,3,0.000660146,0,0.000660146,0,0.000677957,0
minecraft:cake,2,0.000592868,0,0,0.000592868,0.000654778,0.000654778
charcoal_pit:popcorn,1,0.000592868,0,0,0,0.000204618,0
frozenup:truffle_cake,2,0.000592868,0,0.000486055,0,0.000818473,0
rankine:popcorn,2,0.000592868,0,0.000486055,0,0.000409237,0
minecraft:wheat,3,0.001778604,0,0,0,0.000613855,0
rankine:rice,3,0.001778604,0,0,0,0.000613855,0
rankine:inner_bark,1,0.000592868,0,0,0,0,0
rankine:pancake_batter,1,0.000296434,0,0,0.000296434,0.000297627,0.000297627
frozenup:mug_of_truffle_hot_chocolate,3,0.000889302,0,0.000729082,0,0,0.00122771
rankine:corn_ear,1,0.000296434,0,0.000296434,0,0.000204618,0
create:honeyed_apple,8,0,0.006389357,0,0,0.002892616,0
crockpot:pow_cake,2,0,0.006022804,0,0,0.000409237,0
crockpot:pumpkin_cookie,10,0,0.00592868,0,0,0.001636946,0
crockpot:fruit_medley,8,0,0.004742944,0,0,0.002619114,0
minecraft:pumpkin_pie,8,0,0.004742944,0,0,0.001309557,0
crockpot:moqueca,14,0,0.004361383,0,0.004361383,0,0.004601889
crockpot:stuffed_eggplant,7,0,0.004150076,0,0,0,0
rankine:fruit_jam,7,0,0.004150076,0,0,0.003163798,0
crockpot:gazpacho,6,0,0.003738328,0,0,0,0
crockpot:mushy_cake,6,0,0.003738328,0,0,0.00122771,0
crockpot:veg_stinger,6,0,0.003738328,0,0,0,0
crockpot:turkey_dinner,12,0,0.003557208,0,0.003557208,0,0.003571519
charcoal_pit:beet_stew,6,0,0.003557208,0,0,0,0
charcoal_pit:mooshroom_stew,6,0,0.003557208,0,0,0,0
crockpot:flower_salad,6,0,0.003557208,0,0,0,0
crockpot:jammy_preserves,6,0,0.003557208,0,0,0.001964335,0
crockpot:ratatouille,6,0,0.003557208,0,0,0,0
minecraft:beetroot_soup,6,0,0.003557208,0,0,0,0
minecraft:golden_carrot,6,0,0.003557208,0,0,0,0
minecraft:mushroom_stew,6,0,0.003557208,0,0,0,0
charcoal_pit:farfetch_stew,8,0,0.003194678,0,0.003194678,0,0.002381013
crockpot:california_roll,10,0,0.003115274,0,0.003115274,0.002046183,0.002046183
minecraft:rabbit_stew,10,0,0.00296434,0,0.00296434,0,0.004092365
crockpot:cooked_eggplant,5,0,0.00296434,0,0,0,0
crockpot:taffy,5,0,0.00296434,0,0,0.002046183,0
crockpot:watermelon_icle,5,0,0.00296434,0,0,0.000818473,0
minecraft:baked_potato,5,0,0.00296434,0,0,0,0
crockpot:seafood_gumbo,9,0,0.002803746,0,0.002803746,0,0.001473252
create:chocolate_glazed_berries,7,0,0.002795343,0.002795343,0,0.003163798,0
crockpot:hot_chili,9,0,0.002667906,0,0.002667906,0,0.002678639
charcoal_pit:dragon_fruit,6,0,0.002640585,0,0,0.002169462,0
frozenup:truffle,6,0,0.003557208,0,0,0.001084731,0
minecraft:honey_bottle,6,0,0.003557208,0,0,0.002711827,0
crockpot:asparagus_soup,4,0,0.002492219,0,0,0,0
crockpot:potato_souffle,8,0,0.002492219,0,0,0.001636946,0
charcoal_pit:rabbit_stew,8,0,0.002371472,0,0.002371472,0,0.002381013
crockpot:fish_tacos,8,0,0.002371472,0,0.002371472,0,0.002381013
crockpot:perogies,8,0,0.002371472,0,0.002371472,0,0.002381013
crockpot:pepper_popper,8,0,0.002371472,0,0.002371472,0,0.001309557
watersource:coconut_chicken,8,0,0.002371472,0,0.002371472,0,0
